chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.50631434,3042.8981489491784,2064.795048371114,5667.687567349138,0.2489055765086207,-134.24287,95.853325,-69.591835,74.89809,-47.36183,37.4561,-40.978172,32.083565,-19.825523,-2.1626577,2.6005094,-11.147889,6.0322175,-12.319931,14.008142,-17.838255,10.858045,-7.718784,5.747559,-4.6650476,bat
0.40397894,3623.5372860310135,1783.281173287535,5598.880320581897,0.2997710129310345,-129.85312,36.43568,-92.57377,109.40639,-49.444775,40.626194,-24.614925,47.273674,-12.262755,17.733107,14.292007,-0.7764375,17.359882,-0.944606,25.308262,-14.509471,19.526125,-4.9295807,11.616409,0.4546302,bat
0.38477552,3571.698039705576,1823.2118013175489,5640.337924299569,0.2781463272270115,-143.33397,41.38308,-83.8126,106.61211,-48.862362,42.086727,-20.510183,44.970707,-14.777332,16.653397,15.515029,-5.5151825,23.74998,-0.3371224,20.324339,-10.675459,19.031584,-5.0950446,10.742468,5.536562,bat
0.29969972,3770.245219901477,1923.8801991620603,6077.932213092672,0.3067248114224138,-168.75986,40.161545,-76.1428,108.88575,-42.086918,45.84366,-30.474895,49.750023,-14.152005,8.256562,21.072216,-8.418544,22.80005,-6.857083,16.422812,-6.625628,21.668964,-6.683457,5.325813,10.274701,bat
0.36695334,3800.8120718786054,2095.691399111772,5995.388267780172,0.29217739762931033,-202.57751,51.506023,-62.08488,105.191,-47.652344,56.078575,-30.988602,46.953514,-9.313073,3.640907,21.003706,-5.3480372,17.103241,1.3329552,17.538736,-9.16898,17.987015,-4.8091373,9.3627615,0.8550102,bat
0.5583822,2743.531628746149,2054.0003844215876,5032.210567079741,0.13167317708333334,-237.7692,77.91519,-69.52332,94.26534,-31.647985,40.862457,-17.505404,34.779198,-1.8792876,9.493181,15.859714,2.5896266,18.66155,-0.23197731,18.034267,-3.6634834,17.115133,-1.19064,9.537296,1.6394371,bat
0.46164772,3229.1361693306503,2081.827910869503,5661.994881465517,0.21189161278735633,-196.87947,63.021976,-74.63091,91.34588,-32.832165,47.25458,-23.094507,44.81289,-12.192844,9.099696,16.082867,1.0002458,21.13159,-2.0230398,22.792036,-7.913979,15.459616,-1.664621,11.686172,3.001738,bat
0.49054363,3317.1215075869977,2030.481255219958,5642.936759159483,0.22385730962643677,-189.04553,58.063324,-74.49864,101.174255,-38.156776,49.420326,-21.452116,33.723602,-12.598727,12.621854,8.3385105,4.1805954,21.956688,-5.667176,22.346518,-9.484159,17.932205,-1.8605049,14.039632,-0.6349403,bat
0.39475945,3381.539321789576,1554.8423552529591,4897.937432650862,0.28427509877873564,-124.29215,30.591969,-107.66225,109.92176,-33.81767,41.281563,-17.551332,27.572857,-12.199374,11.0753565,12.132419,9.48185,17.539309,-2.5418992,27.142197,-6.011158,11.412089,-5.9186354,10.888701,-4.22677,bat
0.448836,3359.5489556136095,1761.3999966713131,5072.430630387931,0.26449128951149425,-179.63206,52.878456,-90.61542,109.067245,-45.5082,50.07742,-13.42721,25.45309,-7.9202013,12.927532,9.93679,3.5228117,18.165785,1.1801381,20.34086,-7.644908,20.34293,-2.9522295,14.362951,-4.0262938,bat
0.40232572,3391.5338255499173,1940.0414762533776,5435.153724407328,0.24795146372126436,-208.502,48.199734,-77.0692,103.30052,-34.74917,49.682438,-23.314114,36.05193,-2.788714,6.814472,16.0815,4.0953155,10.5821905,3.5960164,19.067644,-8.797385,18.213978,-7.4764853,16.172647,-2.2223136,bat
0.5429117,3050.8413867155055,1830.8472553865001,4907.961509967672,0.2711588541666667,-129.84789,104.66201,-90.52564,102.47927,-62.109077,38.032505,-29.953047,25.010813,-23.59135,9.7830305,-6.4497113,-6.5846124,10.577161,-19.079256,15.409748,-19.081375,12.817416,-8.433575,7.540081,-8.4128,bat
0.38546687,3423.827881571497,1830.6227367973595,5411.392948545259,0.2744645743534483,-205.38991,46.235428,-92.46522,110.43109,-34.004986,44.479897,-30.88314,47.192326,-2.4934025,9.987866,13.858042,2.1927812,16.243431,-1.0898323,19.709707,-8.391316,21.814735,-9.739568,10.460806,0.7463048,bat
0.43892443,3319.6810910553504,2020.5381836166835,5498.392039331897,0.22508081896551724,-219.75711,54.711857,-71.194786,102.1377,-41.28439,43.837555,-17.088057,36.660675,-6.8661575,11.858667,9.859245,6.668991,18.21491,0.7464987,21.172838,-9.671814,20.475763,-5.9124217,11.960365,3.1993594,bat
0.4159009,3601.9691702484324,1961.0307399033081,5612.245757004311,0.2748686691810345,-239.90784,52.298843,-68.19741,110.32419,-47.075893,47.28391,-26.975828,38.688683,-8.325452,11.0132675,11.468045,-1.2942349,15.850273,-0.33266938,20.710218,-10.56001,21.183447,-6.5252466,11.143883,3.4929557,bat
0.39827725,3803.9770047589172,1868.1195223680434,5701.843682650862,0.31638941271551724,-221.57655,43.789864,-81.769875,113.21244,-48.395214,53.516064,-30.63639,35.46269,-11.316473,17.751986,11.363172,1.3500149,19.593607,-3.5267498,23.142998,-11.278627,23.45934,-8.189992,9.078619,0.4129643,bat
0.46260732,3375.974172462052,2050.2192839357763,5594.053912984914,0.23728785021551724,-267.27014,59.104053,-66.77146,99.50948,-42.249584,48.8608,-24.016964,30.84992,-3.28735,12.689376,7.873505,6.5441313,14.970772,-2.3733857,22.066357,-10.580298,19.26482,-7.382458,11.151283,-2.8076751,bat
0.549561,4223.187033952802,1916.3788368683245,6320.366379310345,0.3577361709770115,-219.83669,53.054256,-76.60937,108.15866,-62.717632,60.81143,-42.51362,36.309105,-20.908913,10.861905,0.6922785,-8.917812,11.031435,-20.09261,18.261904,-16.650558,15.455962,-12.185234,9.961852,-6.9801736,bat
0.5455428,4348.632675010507,1852.5219377788671,6356.255051185345,0.3777669270833333,-175.40025,51.33332,-85.01278,116.21074,-70.57926,72.312614,-45.815327,40.30615,-21.448845,10.052853,1.3482466,-7.306291,12.167949,-18.410397,19.717594,-18.155544,17.110548,-16.00544,11.993628,-8.137907,bat
0.5402256,4427.530490589904,1883.4245880978374,6404.6428811961205,0.39066428699712646,-174.35338,47.4539,-69.59134,113.69224,-68.66624,63.033726,-44.92073,41.553253,-20.868364,9.362952,2.111501,-10.289357,13.712081,-17.26286,15.913014,-17.748316,14.754744,-13.942387,9.912069,-8.185804,bat
0.5391962,4281.269879241066,1920.1756885231107,6390.039904364224,0.3771046605603448,-168.03017,58.672115,-77.16566,111.79143,-71.15745,67.87632,-44.826077,34.54359,-20.913034,14.02164,-4.05466,-9.559325,11.780402,-19.56952,19.073101,-19.59043,18.336384,-13.798146,11.652456,-7.649675,bat
